FLV, K1
2.011738042,0.015183694
1.730195739,0.017979265
1.55051578,0.020265611
1.418357516,0.021744066
1.324414142,0.02349523
1.228247006,0.024856772
1.146895396,0.026670169
1.056354104,0.028818071
0.972960565,0.03092046
0.896150502,0.033410649
0.825404185,0.035346786
0.709889048,0.039284523
0.760242914,0.037395105
0.644946677,0.041854718
0.581943675,0.044593068
0.490316141,0.048524895
0.404708995,0.053930713
0.350463551,0.057055945
0.299357729,0.061218395
0.240409918,0.067086848
0.173613436,0.075087397
0.147283726,0.079438655
0.1266714,0.082866788
0.110069463,0.087053681
0.093376608,0.090173237
0.079760104,0.092098396
0.067663918,0.094064616
0.058795656,0.095398729
0.051441014,0.096751742
0.044241856,0.098123945
0.033290585,0.09951561
0.037920063,0.098817328
0.029126327,0.09951561
0.025570434,0.09951561
0.02260303,0.09951561
0.019843535,0.100218827
0.017420934,0.100218827
0.015294096,0.098817328
0.013426913,0.096751742
0.012032535,0.093404602
0.010782963,0.088912239
